"TIPOLOGIA STRUTTURA,""TIPO_ESERCIZIO"",""CLASSIFICAZIONE"",""DENOMINAZIONE"",""CAP"",""INDIRIZZO"",""TELEFONO"",""CAMERE"",""BAGNI"",""LETTI"",""SCIA/AUT."",""DATA"",""N. PROT"",""Durata"""
"ALBERGHIERA,""ALBERGO"",""****"",""H. BORGO DEL MARE di TROTTA Alessandro"",""00053"",""VIA OLIMPIA, 3"",""0766/50260"",""14"",""14"",""18"",""SCIA"",""24/01/2013"",""4681"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""**"",""H. PORTO DI ROMA di FIORUCCI Francesco"",""00053"",""VIA MONTEGRAPPA, 27"",""3387117031"",""13"",""13"",""22"",""AUTORIZ."",""16/02/2009"",""06/2009 R.B."",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""H. TRAIANO di TROTTA Giovanni"",""53"",""VIA  F . FILZI, 1"",""0766/220397"",""28"",""28"",""74"",""AUTORIZ."",""19/10/2001"",""12/2001 R.B."",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""H. TRAGHETTO di RICCETTI Umberto"",""00053"",""VIA B.CLAUDIA, 1"",""0766/25920"",""39"",""41"",""85"",""SCIA"",""03/01/2012"",""463"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""****"",""H. SAN GIORGIO di PALOMBA Marco"",""00053"",""V.LE GARIBALDI, 34"",""0766/36021"",""41"",""41"",""97"",""AUTORIZ."",""08/05/2007"",""07/2007R.B"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""H. DE LA VILLE di BALLOTTA Cristina"",""00053"",""V. DELLA REPUBBLICA, 4"",""3331636479"",""42"",""42"",""90"",""AUTORIZ."",""20/02/2009"",""07/2009 R B"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""****"",""SUNBAY PARK HOTEL di NANNI Angela"",""00053"",""V.AURELIA SUD, KM 68,750"",""0766/22801"",""58"",""75"",""129"",""SCIA"",""08/11/2012"",""64714"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""TENUTA CASALE DELL'ARGENTO di DE DONATIS Claudio"",""00053"",""LOC. COLLINE DELL'ARGENTO SNC"",""0766/29995"",""15"",""15"",""25"",""AUTORIZ."",""29/09/2009"",""33/2009 R.B"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""H. MEDITERRANEO di BALLOTTA Cristina"",""00053"",""VIALE GARIBALDI 38"",""0766/220256"",""56"",""56"",""90"",""AUTORIZ."",""22/11/2008"",""18/2008 R.B."",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""*"",""ALBERGO OLLOLAI di ZEDDE Paolo Basilio"",""00053"",""VIA DEL GAZOMETRO, 38"",""0766/581040"",""8"",""8"",""11"",""AUTORIZ."",""01/06/2006"",""17/2006 r.b."",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""*"",""H. SAMARCANDA di PARMIGIANI Candida"",""00053"",""VIA AURELIA NORD 86"",""0766/560281"",""6"",""6"",""12"",""Riclassificazion e struttura esistente"",""04/06/2013"",""32641"",""Permanente"""
"ALBERGHIERA,""ALBERGO"",""***"",""RESIDENCE SUNBAYdi LEONCINI Alessandro"",""00053"",""VIA D.ROSSI SNC"",""0766/33140"",""28"",""37"",""72"",""SCIA"",""14/05/2013"",""27500"",""Stagionale"""
"ALBERGHIERA,""ALBERGO"",""***"",""H. BAIA DEL SOLE di LEONCINI Alessandro"",""00053"",""VIA D.ROSSI SNC"",""0766/33140"",""44"",""44"",""102"",""SCIA"",""18/04/2013"",""22567"",""Stagionale"""
"ALBERGHIERA,""ALBERGO"",""***"",""H.MIRAMARE di RICCETTI Gianluigi"",""00053"",""V.LE DELLA VITTORIA, 29"",""0766/220660"",""11"",""11"",""16"",""AUTORIZ."",""28/06/2006"",""25/2006 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B IL PARCO di PROIETTI Alberto"",""00053"",""V. A. MONTANUCCI, 26"",""0766/54618"",""3"",""2"",""6"",""AUTORIZ."",""03/08/2010"",""33/2010 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B LUSI di TRINETTI Antonietta"",""53"",""V.TORREVALDALIGA, 36/A"",""0766/568041"",""2"",""1"",""3"",""AUTORIZ."",""16/12/2010"",""46/2010 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""BED AND BREAKFAST"",""UNICA"",""B&B VILLA SAN SOUCI di TORTORELLI Michele"",""00053"",""V. CERNUSCO,13"",""3479090530"",""3"",""3"",""5"",""AUTORIZ."",""09/03/2010"",""07/2010 R.B."",""Permanente"""
